seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr10	21462246	21462450	205	*	X00080	100128511	21462919	21463852	934	+	468	upstream	468	NEBL-AS1
chr10	22539768	22539902	135	*	X00085	100130992	22541001	22547477	6477	+	1098	upstream	1098	LOC100130992
chr10	22540804	22540877	74	*	X00086	100130992	22541001	22547477	6477	+	123	upstream	123	LOC100130992
chr10	22540743	22540765	23	*	X00087	100130992	22541001	22547477	6477	+	235	upstream	235	LOC100130992
chr10	22604928	22605077	150	*	X00089	100532731	22605312	22620414	15103	+	234	upstream	234	COMMD3-BMI1
chr10	22604928	22605077	150	*	X00089	23412	22605312	22609246	3935	+	234	upstream	234	COMMD3
chr10	22609383	22609396	14	*	X00090	648	22610139	22620414	10276	+	742	upstream	742	BMI1
chr10	22609383	22609477	95	*	X00091	648	22610139	22620414	10276	+	661	upstream	661	BMI1
chr10	22634568	22634717	150	*	X00098	9576	22634374	22706539	72166	+	0	inside	193	SPAG6
chr10	22726744	22726908	165	*	X00101	100499489	22724354	22726858	2505	-	0	overlapStart	0	LOC100499489
chr10	23215467	23215601	135	*	X00104	219681	23216954	23326514	109561	+	1352	upstream	1352	ARMC3
chr10	23216427	23216561	135	*	X00105	219681	23216954	23326514	109561	+	392	upstream	392	ARMC3
chr10	23217165	23217311	147	*	X00106	219681	23216954	23326514	109561	+	0	inside	210	ARMC3
chr10	23479417	23479551	135	*	X00117	256297	23481460	23483181	1722	+	1908	upstream	1908	PTF1A
chr10	23480422	23480571	150	*	X00118	256297	23481460	23483181	1722	+	888	upstream	888	PTF1A
chr10	23481337	23481471	135	*	X00119	256297	23481460	23483181	1722	+	0	overlapStart	0	PTF1A
chr10	23982570	23982633	64	*	X00126	56243	23983675	24836772	853098	+	1041	upstream	1041	KIAA1217
chr10	25465232	25465456	225	*	X00131	100128811	25447001	25465205	18205	-	26	upstream	26	GPR158-AS1
chr10	25466447	25466538	92	*	X00132	100128811	25447001	25465205	18205	-	1241	upstream	1241	GPR158-AS1
chr10	26504462	26504553	92	*	X00139	2572	26505236	26593491	88256	+	682	upstream	682	GAD2
chr10	26726972	26727121	150	*	X00143	54518	26727266	26856732	129467	+	144	upstream	144	APBB1IP
chr10	26727362	26727586	225	*	X00144	54518	26727266	26856732	129467	+	0	inside	95	APBB1IP
chr10	28034505	28034639	135	*	X00156	283078	27961803	28034778	72976	-	0	inside	138	MKX
chr10	28035390	28035539	150	*	X00157	283078	27961803	28034778	72976	-	611	upstream	611	MKX
chr10	30026971	30027070	100	*	X00165	6840	29746277	30025864	279588	-	1106	upstream	1106	SVIL
chr10	31606204	31606323	120	*	X00172	6935	31607424	31818742	211319	+	1100	upstream	1100	ZEB1
chr10	31607224	31607310	87	*	X00173	6935	31607424	31818742	211319	+	113	upstream	113	ZEB1
chr10	31609410	31609532	123	*	X00174	220930	31605457	31608024	2568	-	1385	upstream	1385	ZEB1-AS1
chr10	31609743	31609862	120	*	X00175	220930	31605457	31608024	2568	-	1718	upstream	1718	ZEB1-AS1
chr10	33624837	33624863	27	*	X00176	8829	33466419	33624006	157588	-	830	upstream	830	NRP1
chr10	33624458	33624863	406	*	X00177	8829	33466419	33624006	157588	-	451	upstream	451	NRP1
chr10	33625164	33625179	16	*	X00178	8829	33466419	33624006	157588	-	1157	upstream	1157	NRP1
chr10	33625164	33625373	210	*	X00179	8829	33466419	33624006	157588	-	1157	upstream	1157	NRP1
chr10	33625464	33625554	91	*	X00180	8829	33466419	33624006	157588	-	1457	upstream	1457	NRP1
chr10	33625819	33626073	255	*	X00181	8829	33466419	33624006	157588	-	1812	upstream	1812	NRP1
chr10	43762540	43762764	225	*	X00219	221002	43689984	43762367	72384	-	172	upstream	172	RASGEF1A
chr10	43763485	43763508	24	*	X00220	221002	43689984	43762367	72384	-	1117	upstream	1117	RASGEF1A
chr10	43763485	43763604	120	*	X00221	221002	43689984	43762367	72384	-	1117	upstream	1117	RASGEF1A
chr10	43763874	43763889	16	*	X00222	221002	43689984	43762367	72384	-	1506	upstream	1506	RASGEF1A
chr10	43763740	43763889	150	*	X00223	221002	43689984	43762367	72384	-	1372	upstream	1372	RASGEF1A
chr10	44070525	44070689	165	*	X00224	8187	44051793	44070066	18274	-	458	upstream	458	ZNF239
chr10	44788326	44788416	91	*	X00232	100130539	44788198	44790097	1900	+	0	inside	127	LINC02881
chr10	44880687	44880722	36	*	X00242	6387	44865601	44880545	14945	-	141	upstream	141	CXCL12
chr10	44881085	44881127	43	*	X00243	6387	44865601	44880545	14945	-	539	upstream	539	CXCL12
chr10	44880978	44881127	150	*	X00244	6387	44865601	44880545	14945	-	432	upstream	432	CXCL12
chr10	44881608	44881712	105	*	X00245	6387	44865601	44880545	14945	-	1062	upstream	1062	CXCL12
chr10	44881608	44881712	105	*	X00246	6387	44865601	44880545	14945	-	1062	upstream	1062	CXCL12
chr10	44882254	44882387	134	*	X00247	6387	44865601	44880545	14945	-	1708	upstream	1708	CXCL12
chr10	45868796	45868960	165	*	X00250	240	45869624	45941567	71944	+	663	upstream	663	ALOX5
chr10	45869725	45869740	16	*	X00251	240	45869624	45941567	71944	+	0	inside	100	ALOX5
chr10	45869732	45869740	9	*	X00252	240	45869624	45941567	71944	+	0	inside	107	ALOX5
chr10	45869861	45869920	60	*	X00253	240	45869624	45941567	71944	+	0	inside	236	ALOX5
chr10	45869861	45869920	60	*	X00254	240	45869624	45941567	71944	+	0	inside	236	ALOX5
chr10	46991843	46992451	609	*	X00257	9721	46993546	47000568	7023	+	1094	upstream	1094	GPRIN2
chr10	48439312	48439425	114	*	X00265	2662	48425788	48439138	13351	-	173	upstream	173	GDF10
chr10	48439291	48439425	135	*	X00266	2662	48425788	48439138	13351	-	152	upstream	152	GDF10
chr10	49864830	49864871	42	*	X00269	58504	49654068	49864310	210243	-	519	upstream	519	ARHGAP22
chr10	50604085	50604150	66	*	X00277	644168	50574161	50604062	29902	-	22	upstream	22	DRGX
chr10	50605156	50605260	105	*	X00278	644168	50574161	50604062	29902	-	1093	upstream	1093	DRGX
chr10	50816914	50817033	120	*	X00284	1103	50817141	50901939	84799	+	107	upstream	107	CHAT
chr10	50816914	50817033	120	*	X00284	6572	50818347	50820766	2420	+	1313	upstream	1313	SLC18A3
chr10	50817409	50817500	92	*	X00285	1103	50817141	50901939	84799	+	0	inside	267	CHAT
chr10	50817409	50817500	92	*	X00285	6572	50818347	50820766	2420	+	846	upstream	846	SLC18A3
chr10	50817538	50817847	310	*	X00286	6572	50818347	50820766	2420	+	499	upstream	499	SLC18A3
chr10	50887231	50887365	135	*	X00302	282966	50887684	50916956	29273	+	318	upstream	318	C10orf53
chr10	52750751	52750900	150	*	X00317	5592	52750911	54058110	1307200	+	10	upstream	10	PRKG1
chr10	54073412	54073458	47	*	X00322	22943	54074041	54077417	3377	+	582	upstream	582	DKK1
chr10	54074423	54074551	129	*	X00323	100506939	54056608	54073888	17281	-	534	upstream	534	PRKG1-AS1
chr10	54074984	54075016	33	*	X00324	100506939	54056608	54073888	17281	-	1095	upstream	1095	PRKG1-AS1
chr10	60272856	60272885	30	*	X00328	80114	60272904	60588845	315942	+	18	upstream	18	BICC1
chr10	60272541	60272576	36	*	X00329	80114	60272904	60588845	315942	+	327	upstream	327	BICC1
chr10	60936206	60936355	150	*	X00334	84457	60936348	61007534	71187	+	0	overlapStart	0	PHYHIPL
chr10	63213256	63213375	120	*	X00338	219623	63166401	63213208	46808	-	47	upstream	47	TMEM26
chr10	63214741	63214845	105	*	X00339	219623	63166401	63213208	46808	-	1532	upstream	1532	TMEM26
chr10	63660118	63660157	40	*	X00346	84159	63661013	63856707	195695	+	855	upstream	855	ARID5B
chr10	63660008	63660157	150	*	X00347	84159	63661013	63856707	195695	+	855	upstream	855	ARID5B
chr10	63660398	63660407	10	*	X00348	84159	63661013	63856707	195695	+	605	upstream	605	ARID5B
chr10	63660398	63660532	135	*	X00349	84159	63661013	63856707	195695	+	480	upstream	480	ARID5B
chr10	64578805	64578894	90	*	X00363	1959	64571756	64578927	7172	-	0	inside	32	EGR2
chr10	64578685	64578894	210	*	X00364	1959	64571756	64578927	7172	-	0	inside	32	EGR2
chr10	64578910	64579089	180	*	X00365	1959	64571756	64578927	7172	-	0	overlapStart	0	EGR2
chr10	64578910	64579089	180	*	X00366	1959	64571756	64578927	7172	-	0	overlapStart	0	EGR2
chr10	64579675	64579794	120	*	X00367	1959	64571756	64578927	7172	-	747	upstream	747	EGR2
chr10	64579990	64580075	86	*	X00368	1959	64571756	64578927	7172	-	1062	upstream	1062	EGR2
chr10	69991900	69992214	315	*	X00369	220202	69990352	69991870	1519	-	29	upstream	29	ATOH7
chr10	71211437	71211616	180	*	X00372	23555	71211226	71267423	56198	+	0	inside	210	TSPAN15
chr10	71333314	71333493	180	*	X00380	50674	71331791	71333210	1420	-	103	upstream	103	NEUROG3
chr10	72044015	72044119	105	*	X00389	64106	72014713	72043450	28738	-	564	upstream	564	NPFFR1
chr10	72044015	72044119	105	*	X00390	64106	72014713	72043450	28738	-	564	upstream	564	NPFFR1
chr10	72044660	72044769	110	*	X00391	64106	72014713	72043450	28738	-	1209	upstream	1209	NPFFR1
chr10	72044660	72044794	135	*	X00392	64106	72014713	72043450	28738	-	1209	upstream	1209	NPFFR1
chr10	72201550	72201669	120	*	X00397	4838	72191692	72201465	9774	-	84	upstream	84	NODAL
chr10	72432649	72432828	180	*	X00401	140766	72432559	72522195	89637	+	0	inside	89	ADAMTS14
chr10	72970286	72970420	135	*	X00406	219699	72972292	73062635	90344	+	1871	upstream	1871	UNC5B
chr10	72970706	72970825	120	*	X00407	219699	72972292	73062635	90344	+	1466	upstream	1466	UNC5B
chr10	72970991	72971110	120	*	X00408	219699	72972292	73062635	90344	+	1181	upstream	1181	UNC5B
chr10	72970991	72971110	120	*	X00409	219699	72972292	73062635	90344	+	1181	upstream	1181	UNC5B
chr10	73156786	73156903	118	*	X00412	64072	73156691	73575704	419014	+	0	inside	94	CDH23
chr10	73532811	73533080	270	*	X00421	64115	73507314	73533337	26024	-	0	inside	256	VSIR
chr10	73533201	73533226	26	*	X00422	64115	73507314	73533337	26024	-	0	inside	110	VSIR
chr10	73848576	73848680	105	*	X00432	9806	73818792	73848790	29999	-	0	inside	109	SPOCK2
chr10	73849026	73849175	150	*	X00433	9806	73818792	73848790	29999	-	235	upstream	235	SPOCK2
chr10	77054394	77054678	285	*	X00438	253264	77056141	77121436	65296	+	1462	upstream	1462	ZNF503-AS1
chr10	77054829	77055263	435	*	X00439	253264	77056141	77121436	65296	+	877	upstream	877	ZNF503-AS1
chr10	77160010	77160249	240	*	X00450	100131213	77161286	77168740	7455	+	1036	upstream	1036	ZNF503-AS2
chr10	77160565	77160729	165	*	X00451	100131213	77161286	77168740	7455	+	556	upstream	556	ZNF503-AS2
chr10	77160955	77161067	113	*	X00452	100131213	77161286	77168740	7455	+	218	upstream	218	ZNF503-AS2
chr10	77163208	77163659	452	*	X00453	84858	77157603	77161513	3911	-	1694	upstream	1694	ZNF503
chr10	79397237	79397334	98	*	X00489	3778	78629359	79397577	768219	-	0	inside	242	KCNMA1
chr10	79397237	79397356	120	*	X00490	3778	78629359	79397577	768219	-	0	inside	220	KCNMA1
chr10	79398450	79398616	167	*	X00491	3778	78629359	79397577	768219	-	872	upstream	872	KCNMA1
chr10	79398257	79398616	360	*	X00492	3778	78629359	79397577	768219	-	679	upstream	679	KCNMA1
chr10	81892556	81892807	252	*	X00506	219348	81892258	81904784	12527	+	0	inside	297	PLAC9
chr10	81892343	81892381	39	*	X00507	219348	81892258	81904784	12527	+	0	inside	84	PLAC9
chr10	82116135	82116254	120	*	X00510	143241	82095861	82116514	20654	-	0	inside	259	DYDC1
chr10	85953189	85953353	165	*	X00521	92211	85954412	85979376	24965	+	1058	upstream	1058	CDHR1
chr10	85954194	85954328	135	*	X00522	92211	85954412	85979376	24965	+	83	upstream	83	CDHR1
chr10	85954689	85954868	180	*	X00523	92211	85954412	85979376	24965	+	0	inside	276	CDHR1
chr10	85954689	85954868	180	*	X00524	92211	85954412	85979376	24965	+	0	inside	276	CDHR1
chr10	88126726	88126920	195	*	X00533	2894	87359312	88126250	766939	-	475	upstream	475	GRID1
chr10	88127102	88127115	14	*	X00534	2894	87359312	88126250	766939	-	851	upstream	851	GRID1
chr10	88126951	88127115	165	*	X00535	2894	87359312	88126250	766939	-	700	upstream	700	GRID1
chr10	90639530	90639664	135	*	X00558	57559	90639944	90734910	94967	+	279	upstream	279	STAMBPL1
chr10	90750695	90750889	195	*	X00559	59	90694831	90751147	56317	-	0	inside	257	ACTA2
chr10	90750935	90751219	285	*	X00560	59	90694831	90751147	56317	-	0	overlapStart	0	ACTA2
chr10	90966693	90966797	105	*	X00561	9023	90965694	90967071	1378	-	0	inside	273	CH25H
chr10	91295248	91295283	36	*	X00564	387700	91190051	91295313	105263	-	0	inside	29	SLC16A12
chr10	91295864	91295892	29	*	X00565	387700	91190051	91295313	105263	-	550	upstream	550	SLC16A12
chr10	91295758	91295892	135	*	X00566	387700	91190051	91295313	105263	-	444	upstream	444	SLC16A12
chr10	92618291	92618470	180	*	X00573	3363	92500576	92617671	117096	-	619	upstream	619	HTR7
chr10	92920746	92920880	135	*	X00580	84333	92922769	93044088	121320	+	1888	upstream	1888	PCGF5
chr10	92920746	92920880	135	*	X00581	84333	92922769	93044088	121320	+	1888	upstream	1888	PCGF5
chr10	92921886	92922069	184	*	X00582	84333	92922769	93044088	121320	+	699	upstream	699	PCGF5
chr10	92922122	92922275	154	*	X00583	84333	92922769	93044088	121320	+	493	upstream	493	PCGF5
chr10	92921886	92922275	390	*	X00584	84333	92922769	93044088	121320	+	493	upstream	493	PCGF5
chr10	93393166	93393240	75	*	X00588	5507	93388197	93392858	4662	-	307	upstream	307	PPP1R3C
chr10	94819816	94819950	135	*	X00599	340665	94821021	94828454	7434	+	1070	upstream	1070	CYP26C1
chr10	94819966	94820100	135	*	X00600	340665	94821021	94828454	7434	+	920	upstream	920	CYP26C1
chr10	94820161	94820295	135	*	X00601	340665	94821021	94828454	7434	+	725	upstream	725	CYP26C1
chr10	94820551	94820775	225	*	X00602	340665	94821021	94828454	7434	+	245	upstream	245	CYP26C1
chr10	94821031	94821165	135	*	X00603	340665	94821021	94828454	7434	+	0	inside	9	CYP26C1
chr10	94832446	94832595	150	*	X00607	1592	94833232	94837641	4410	+	636	upstream	636	CYP26A1
chr10	94833241	94833405	165	*	X00608	1592	94833232	94837641	4410	+	0	inside	8	CYP26A1
chr10	94833496	94833600	105	*	X00609	1592	94833232	94837641	4410	+	0	inside	263	CYP26A1
chr10	95254981	95255115	135	*	X00614	55165	95256369	95288849	32481	+	1253	upstream	1253	CEP55
chr10	95325396	95325474	79	*	X00617	338557	95326422	95349829	23408	+	947	upstream	947	FFAR4
chr10	95361145	95361174	30	*	X00623	5950	95351593	95360993	9401	-	151	upstream	151	RBP4
chr10	95654005	95654124	120	*	X00629	159371	95653730	95714008	60279	+	0	inside	274	SLC35G1
chr10	95752903	95753022	120	*	X00632	51196	95753746	96088148	334403	+	723	upstream	723	PLCE1
chr10	95752903	95753022	120	*	X00633	51196	95753746	96088148	334403	+	723	upstream	723	PLCE1
chr10	95753742	95753877	136	*	X00634	51196	95753746	96088148	334403	+	0	overlapStart	0	PLCE1
chr10	95753428	95753563	136	*	X00635	51196	95753746	96088148	334403	+	182	upstream	182	PLCE1
chr10	98480483	98480812	330	*	X00643	118788	98353069	98480279	127211	-	203	upstream	203	PIK3AP1
chr10	98945583	98945732	150	*	X00648	6585	98757795	98945683	187889	-	0	overlapStart	0	SLIT1
chr10	98946043	98946257	215	*	X00649	6585	98757795	98945683	187889	-	359	upstream	359	SLIT1
chr10	98946318	98946452	135	*	X00650	6585	98757795	98945683	187889	-	634	upstream	634	SLIT1
chr10	98946978	98947013	36	*	X00651	6585	98757795	98945683	187889	-	1294	upstream	1294	SLIT1
chr10	99259421	99259460	40	*	X00656	64210	99218081	99258513	40433	-	907	upstream	907	MMS19
chr10	99259581	99259715	135	*	X00657	64210	99218081	99258513	40433	-	1067	upstream	1067	MMS19
chr10	99260076	99260084	9	*	X00658	64210	99218081	99258513	40433	-	1562	upstream	1562	MMS19
chr10	99260162	99260225	64	*	X00659	64210	99218081	99258513	40433	-	1648	upstream	1648	MMS19
chr10	99260076	99260225	150	*	X00660	64210	99218081	99258513	40433	-	1562	upstream	1562	MMS19
chr10	99494883	99494964	82	*	X00662	118813	99496878	99520664	23787	+	1913	upstream	1913	ZFYVE27
chr10	99496068	99496277	210	*	X00663	118813	99496878	99520664	23787	+	600	upstream	600	ZFYVE27
chr10	99496068	99496277	210	*	X00664	118813	99496878	99520664	23787	+	600	upstream	600	ZFYVE27
chr10	99533343	99533417	75	*	X00674	6425	99526508	99531756	5249	-	1586	upstream	1586	SFRP5
chr10	99532833	99532897	65	*	X00675	6425	99526508	99531756	5249	-	1076	upstream	1076	SFRP5
chr10	99532833	99532950	118	*	X00676	6425	99526508	99531756	5249	-	1076	upstream	1076	SFRP5
chr10	99609004	99609153	150	*	X00677	401647	99609995	99631335	21341	+	841	upstream	841	GOLGA7B
chr10	99610213	99610293	81	*	X00678	401647	99609995	99631335	21341	+	0	inside	217	GOLGA7B
chr10	99790108	99790287	180	*	X00688	55118	99624757	99790585	165829	-	0	inside	297	CRTAC1
chr10	99790423	99790558	136	*	X00689	55118	99624757	99790585	165829	-	0	inside	26	CRTAC1
chr10	99791338	99791472	135	*	X00690	55118	99624757	99790585	165829	-	752	upstream	752	CRTAC1
chr10	100995481	100995600	120	*	X00694	60495	100216834	100995632	778799	-	0	inside	31	HPSE2
chr10	102503605	102503799	195	*	X00778	5076	102505468	102589698	84231	+	1668	upstream	1668	PAX2
chr10	102503950	102504159	210	*	X00779	5076	102505468	102589698	84231	+	1308	upstream	1308	PAX2
chr10	102504610	102504811	202	*	X00780	5076	102505468	102589698	84231	+	656	upstream	656	PAX2
chr10	102790206	102790252	47	*	X00806	81855	102790996	102800998	10003	+	743	upstream	743	SFXN3
chr10	102790418	102790657	240	*	X00807	81855	102790996	102800998	10003	+	338	upstream	338	SFXN3
chr10	102790418	102790657	240	*	X00807	79955	102767440	102790914	23475	-	0	inside	256	PDZD7
chr10	102791303	102791692	390	*	X00808	79955	102767440	102790914	23475	-	388	upstream	388	PDZD7
chr10	102792233	102792487	255	*	X00809	79955	102767440	102790914	23475	-	1318	upstream	1318	PDZD7
chr10	102792233	102792487	255	*	X00810	79955	102767440	102790914	23475	-	1318	upstream	1318	PDZD7
chr10	102792533	102792662	130	*	X00811	79955	102767440	102790914	23475	-	1618	upstream	1618	PDZD7
chr10	102792533	102792682	150	*	X00812	79955	102767440	102790914	23475	-	1618	upstream	1618	PDZD7
chr10	102988730	102988923	194	*	X00853	399806	102989351	102998616	9266	+	427	upstream	427	LBX1-AS1
chr10	102988730	102988923	194	*	X00853	10660	102986733	102988717	1985	-	12	upstream	12	LBX1
chr10	102989224	102989358	135	*	X00854	399806	102989351	102998616	9266	+	0	overlapStart	0	LBX1-AS1
chr10	102989224	102989358	135	*	X00854	10660	102986733	102988717	1985	-	506	upstream	506	LBX1
chr10	102989734	102989898	165	*	X00855	10660	102986733	102988717	1985	-	1016	upstream	1016	LBX1
chr10	103986404	103986538	135	*	X00898	83401	103986143	103989344	3202	+	0	inside	260	ELOVL3
chr10	104152627	104152746	120	*	X00914	4791	104153867	104162286	8420	+	1120	upstream	1120	NFKB2
chr10	104194282	104194521	240	*	X00926	79004	104183002	104192423	9422	-	1858	upstream	1858	CUEDC2
chr10	104194282	104194521	240	*	X00926	574447	104196269	104196341	73	+	1747	upstream	1747	MIR146B
chr10	104194282	104194521	240	*	X00927	79004	104183002	104192423	9422	-	1858	upstream	1858	CUEDC2
chr10	104194282	104194521	240	*	X00927	574447	104196269	104196341	73	+	1747	upstream	1747	MIR146B
chr10	104195302	104195313	12	*	X00928	574447	104196269	104196341	73	+	955	upstream	955	MIR146B
chr10	104195302	104195356	55	*	X00929	574447	104196269	104196341	73	+	912	upstream	912	MIR146B
chr10	104195556	104195721	166	*	X00930	574447	104196269	104196341	73	+	547	upstream	547	MIR146B
chr10	104195782	104195931	150	*	X00931	574447	104196269	104196341	73	+	337	upstream	337	MIR146B
chr10	104676536	104676542	7	*	X00939	54805	104678075	104838344	160270	+	1532	upstream	1532	CNNM2
chr10	105036670	105036789	120	*	X00942	9118	105036920	105050108	13189	+	130	upstream	130	INA
chr10	105614408	105615037	630	*	X00961	9644	105348285	105615164	266880	-	0	inside	126	SH3PXD2A
chr10	106112747	106112904	158	*	X00962	159686	106113522	106214848	101327	+	617	upstream	617	CFAP58
chr10	106399043	106399118	76	*	X00964	22986	106400859	107024993	624135	+	1740	upstream	1740	SORCS3
chr10	106398984	106399118	135	*	X00965	22986	106400859	107024993	624135	+	1740	upstream	1740	SORCS3
chr10	106399944	106400078	135	*	X00966	22986	106400859	107024993	624135	+	780	upstream	780	SORCS3
chr10	106399944	106400078	135	*	X00967	22986	106400859	107024993	624135	+	780	upstream	780	SORCS3
chr10	106400754	106400903	150	*	X00968	22986	106400859	107024993	624135	+	0	overlapStart	0	SORCS3
chr10	106400754	106400903	150	*	X00969	22986	106400859	107024993	624135	+	0	overlapStart	0	SORCS3
chr10	108924065	108924229	165	*	X00983	114815	108333421	108924466	591046	-	0	inside	236	SORCS1
chr10	108924875	108925009	135	*	X00984	114815	108333421	108924466	591046	-	408	upstream	408	SORCS1
chr10	111966600	111966824	225	*	X01001	4601	111967363	112047123	79761	+	538	upstream	538	MXI1
chr10	111966915	111967049	135	*	X01002	4601	111967363	112047123	79761	+	313	upstream	313	MXI1
chr10	111967185	111967334	150	*	X01003	4601	111967363	112047123	79761	+	28	upstream	28	MXI1
chr10	112256688	112256822	135	*	X01015	1847	112257625	112271302	13678	+	802	upstream	802	DUSP5
chr10	112402203	112402337	135	*	X01019	282996	112404155	112599227	195073	+	1817	upstream	1817	RBM20
chr10	112402653	112402817	165	*	X01020	282996	112404155	112599227	195073	+	1337	upstream	1337	RBM20
chr10	115803132	115803142	11	*	X01033	153	115803806	115806667	2862	+	663	upstream	663	ADRB1
chr10	116164558	116164707	150	*	X01045	84632	116054583	116164515	109933	-	42	upstream	42	AFAP1L2
chr10	116164738	116164872	135	*	X01046	84632	116054583	116164515	109933	-	222	upstream	222	AFAP1L2
chr10	116528428	116528524	97	*	X01049	3983	116190869	116528019	337151	-	408	upstream	408	ABLIM1
chr10	116528390	116528524	135	*	X01050	3983	116190869	116528019	337151	-	370	upstream	370	ABLIM1
chr10	116528555	116528668	114	*	X01051	3983	116190869	116528019	337151	-	535	upstream	535	ABLIM1
chr10	116528555	116528674	120	*	X01052	3983	116190869	116528019	337151	-	535	upstream	535	ABLIM1
chr10	118033919	118034128	210	*	X01062	2674	117816442	118033126	216685	-	792	upstream	792	GFRA1
chr10	118034819	118034945	127	*	X01063	2674	117816442	118033126	216685	-	1692	upstream	1692	GFRA1
chr10	118897615	118897749	135	*	X01076	11023	118888032	118897812	9781	-	0	inside	62	VAX1
chr10	118898305	118898529	225	*	X01077	11023	118888032	118897812	9781	-	492	upstream	492	VAX1
chr10	118898980	118899050	71	*	X01078	11023	118888032	118897812	9781	-	1167	upstream	1167	VAX1
chr10	118899670	118899819	150	*	X01079	11023	118888032	118897812	9781	-	1857	upstream	1857	VAX1
chr10	118927525	118927644	120	*	X01094	100500893	118927189	118927285	97	-	239	upstream	239	MIR3663
chr10	119000095	119000229	135	*	X01101	6571	119000584	119038941	38358	+	354	upstream	354	SLC18A2
chr10	119300308	119300442	135	*	X01109	2018	119301956	119309057	7102	+	1513	upstream	1513	EMX2
chr10	119301433	119301582	150	*	X01110	2018	119301956	119309057	7102	+	373	upstream	373	EMX2
chr10	119301733	119301960	228	*	X01111	2018	119301956	119309057	7102	+	0	overlapStart	0	EMX2
chr10	120355030	120355164	135	*	X01131	2834	120352916	120355160	2245	-	0	overlapStart	0	PRLHR
chr10	120355030	120355164	135	*	X01132	2834	120352916	120355160	2245	-	0	overlapStart	0	PRLHR
chr10	120355300	120355441	142	*	X01133	2834	120352916	120355160	2245	-	139	upstream	139	PRLHR
chr10	120967348	120967355	8	*	X01134	2869	120967197	121215131	247935	+	0	inside	150	GRK5
chr10	121301998	121302132	135	*	X01147	6001	121259339	121302222	42884	-	0	inside	89	RGS10
chr10	121302178	121302249	72	*	X01148	6001	121259339	121302222	42884	-	0	overlapStart	0	RGS10
chr10	121302688	121302807	120	*	X01149	6001	121259339	121302222	42884	-	465	upstream	465	RGS10
chr10	122215968	122216132	165	*	X01150	196051	122216466	122349367	132902	+	333	upstream	333	PLPP4
chr10	122216358	122216391	34	*	X01151	196051	122216466	122349367	132902	+	74	upstream	74	PLPP4
chr10	124220009	124220128	120	*	X01163	5654	124221041	124274424	53384	+	912	upstream	912	HTRA1
chr10	124220009	124220128	120	*	X01164	5654	124221041	124274424	53384	+	912	upstream	912	HTRA1
chr10	124714331	124714409	79	*	X01169	80007	124690419	124713919	23501	-	411	upstream	411	C10orf88
chr10	124714290	124714409	120	*	X01170	80007	124690419	124713919	23501	-	370	upstream	370	C10orf88
chr10	124893763	124893987	225	*	X01171	340784	124895567	124897247	1681	+	1579	upstream	1579	HMX3
chr10	124894693	124894756	64	*	X01172	340784	124895567	124897247	1681	+	810	upstream	810	HMX3
chr10	124906302	124906406	105	*	X01184	3167	124907638	124910188	2551	+	1231	upstream	1231	HMX2
